"race","age","priors_count","c_charge_degree","is_recid"
0,34,0,"F",1
0,24,4,"F",1
1,41,14,"F",1
1,39,0,"M",0
1,27,0,"F",0
0,23,3,"M",1
1,37,0,"M",0
0,41,0,"F",0
1,47,1,"F",1
0,31,7,"F",1
0,25,3,"F",0
1,31,6,"F",1
1,31,5,"F",1
0,64,13,"F",1
0,21,1,"F",1
1,27,0,"M",1
1,21,0,"F",0
1,43,1,"M",0
0,27,8,"F",1
0,26,5,"F",1
0,33,0,"F",1
1,30,9,"F",1
0,32,4,"F",1
1,55,0,"F",0
1,33,4,"M",1
1,24,1,"M",1
0,34,21,"F",1
1,29,0,"M",0
0,21,2,"F",0
0,51,2,"M",0
1,29,2,"M",1
0,51,7,"F",0
0,29,0,"F",1
1,25,9,"M",1
0,35,13,"F",1
1,49,0,"M",0
0,29,0,"F",0
1,29,1,"F",1
0,31,15,"F",1
0,24,2,"F",1
0,49,4,"M",0
1,53,8,"F",0
0,35,5,"F",0
0,27,15,"F",1
1,38,4,"M",1
0,22,1,"F",1
0,29,4,"F",1
0,27,6,"F",1
0,56,0,"M",0
0,39,1,"M",0
0,29,5,"F",1
1,27,1,"F",1
0,40,2,"F",0
0,22,1,"M",1
1,22,0,"F",0
0,26,1,"F",1
0,32,0,"F",0
0,41,1,"M",0
0,30,8,"M",1
0,25,14,"F",1
0,22,2,"F",1
0,35,1,"M",0
0,36,9,"F",1
1,26,7,"F",1
1,25,9,"F",1
1,20,0,"F",0
1,39,2,"F",1
1,54,0,"M",0
0,19,1,"M",1
0,30,1,"F",0
1,39,0,"F",1
1,24,8,"F",1
1,30,0,"F",0
1,31,0,"M",0
1,39,1,"F",0
1,43,1,"F",0
0,21,3,"F",1
1,38,5,"M",1
1,34,0,"F",0
0,33,5,"F",1
0,37,3,"F",0
1,42,1,"F",1
0,41,10,"F",1
0,22,0,"F",1
0,33,28,"F",1
0,31,1,"M",0
1,31,13,"F",1
0,27,3,"F",1
1,52,3,"M",0
0,33,19,"F",1
1,42,6,"F",0
1,25,2,"F",0
1,30,1,"M",0
1,28,0,"M",1
0,24,0,"M",0
1,29,10,"F",1
1,44,2,"M",1
0,32,3,"F",1
1,31,2,"M",1
0,31,1,"M",1
1,59,1,"F",1
0,20,1,"F",0
1,43,0,"M",0
0,38,9,"F",1
0,32,11,"F",1
0,33,8,"M",1
0,31,0,"F",1
0,33,7,"F",1
0,27,2,"F",1
0,20,0,"F",0
1,26,0,"M",0
0,61,1,"F",1
0,32,4,"F",1
0,26,2,"M",1
1,39,1,"M",0
1,30,3,"F",1
0,30,1,"F",0
1,48,2,"M",0
0,22,1,"F",0
1,46,6,"F",1
1,31,0,"F",0
0,25,1,"M",1
0,32,5,"F",0
0,62,8,"F",0
0,28,6,"M",1
1,78,1,"M",1
1,56,0,"F",0
0,22,1,"F",1
0,47,23,"M",1
0,23,0,"M",1
0,66,3,"F",1
1,45,8,"M",1
0,37,2,"M",1
1,39,0,"F",1
0,26,9,"F",1
1,45,2,"F",0
0,23,0,"F",1
0,34,2,"M",1
0,23,1,"M",0
1,50,1,"F",0
1,37,0,"M",0
1,44,4,"M",0
0,35,23,"F",1
0,26,2,"F",1
0,27,0,"M",0
0,28,0,"F",0
1,28,7,"F",1
0,38,2,"F",0
0,28,1,"F",0
1,56,7,"F",1
0,38,15,"F",0
0,28,2,"M",0
1,51,0,"M",1
1,51,0,"M",0
0,48,0,"F",0
1,37,4,"F",1
0,30,2,"F",0
0,41,5,"M",0
0,27,11,"F",1
0,37,0,"M",1
0,54,11,"F",0
0,23,2,"F",0
0,41,0,"M",0
1,52,0,"F",0
1,43,13,"F",1
0,52,0,"F",0
1,28,1,"F",0
0,30,11,"M",1
1,28,1,"F",0
0,22,0,"F",0
0,30,4,"F",0
1,31,0,"F",1
1,37,0,"F",1
0,32,14,"F",0
1,53,1,"M",0
0,28,25,"F",1
1,44,8,"M",1
0,25,0,"F",0
1,22,1,"M",1
1,23,5,"F",1
0,29,1,"M",0
0,20,1,"F",1
0,30,2,"F",1
0,27,4,"F",0
0,37,2,"F",0
0,20,0,"F",0
0,52,0,"F",0
0,23,0,"F",1
0,48,0,"F",0
1,25,0,"F",0
1,27,0,"F",1
0,30,11,"F",1
0,22,3,"M",1
1,22,1,"F",0
0,41,2,"M",0
0,52,3,"F",1
0,43,0,"F",0
1,37,3,"F",0
1,70,1,"M",0
1,46,3,"F",0
0,21,0,"M",1
0,26,1,"M",1
1,34,5,"M",0
0,34,5,"M",0
1,23,0,"F",1
0,34,5,"F",1
0,39,6,"F",1
1,58,2,"F",0
0,21,0,"M",0
0,23,4,"M",1
1,62,0,"F",0
1,37,5,"F",0
0,32,5,"F",0
0,27,0,"M",0
1,44,0,"M",1
1,28,3,"M",1
1,42,0,"F",0
0,27,0,"F",0
0,20,0,"F",1
1,51,0,"M",0
1,56,0,"M",0
0,29,7,"F",0
0,20,0,"F",1
1,27,8,"F",0
0,24,2,"F",1
1,53,36,"F",1
1,28,2,"M",1
0,36,0,"F",0
1,25,2,"M",1
1,28,1,"F",0
0,21,0,"F",1
1,36,0,"M",0
0,24,0,"F",0
0,29,0,"F",0
1,30,0,"M",0
0,32,12,"F",1
0,23,1,"F",0
0,47,3,"F",0
1,37,0,"F",0
0,19,2,"F",1
1,21,0,"F",0
1,69,0,"M",0
1,21,2,"F",0
0,26,6,"M",1
1,22,0,"F",0
0,23,0,"F",1
0,49,3,"F",0
0,29,2,"M",1
1,60,0,"M",0
0,23,3,"F",1
1,30,0,"F",0
0,21,1,"F",1
1,22,2,"M",1
0,21,4,"F",1
0,21,0,"F",1
1,34,1,"M",0
1,50,1,"M",1
1,40,0,"F",1
0,25,7,"F",1
1,53,1,"M",0
0,24,0,"F",0
0,42,1,"F",0
0,28,1,"M",0
0,26,6,"F",1
0,22,4,"F",1
1,21,3,"M",0
0,37,23,"F",1
0,35,2,"F",0
0,53,2,"F",0
0,29,7,"F",1
1,48,23,"F",1
1,52,0,"M",0
0,27,12,"F",1
0,28,5,"F",1
1,33,3,"M",0
0,36,14,"F",1
0,29,2,"F",0
0,22,0,"M",1
1,25,0,"F",0
0,56,5,"F",0
0,27,9,"F",1
1,52,4,"F",1
0,32,3,"F",0
1,39,0,"M",0
1,56,0,"M",0
0,22,0,"F",0
0,53,11,"F",0
1,25,0,"M",1
1,22,0,"F",0
1,58,2,"M",0
0,31,7,"M",1
1,22,1,"F",1
0,28,8,"F",1
0,20,0,"F",1
1,29,0,"M",1
0,58,21,"M",1
0,22,3,"F",0
1,37,0,"F",0
0,57,1,"F",1
1,27,3,"M",0
0,26,3,"F",0
1,24,3,"F",1
1,33,0,"F",0
0,29,2,"F",0
0,24,3,"F",1
1,19,1,"F",1
1,36,2,"M",0
1,24,0,"F",0
1,34,0,"M",0
0,20,1,"F",1
0,24,1,"M",1
1,61,4,"F",0
0,50,3,"F",0
0,30,1,"M",0
0,38,5,"F",0
1,24,0,"M",0
0,46,2,"F",1
1,41,0,"M",1
0,27,13,"M",1
0,26,1,"M",1
0,29,3,"F",1
1,52,6,"F",1
1,28,1,"F",1
0,55,5,"F",1
0,26,10,"F",1
0,28,5,"F",0
1,63,2,"F",0
0,42,0,"F",0
0,23,6,"F",1
0,54,28,"F",1
0,35,8,"F",1
0,24,6,"F",1
0,54,2,"M",0
0,58,12,"M",1
1,23,1,"M",1
0,35,1,"M",0
0,20,1,"F",1
1,51,0,"F",0
1,37,3,"F",0
1,47,3,"F",0
1,34,4,"F",1
1,56,0,"F",0
1,59,1,"F",1
1,24,6,"F",1
1,21,2,"M",1
0,26,1,"F",0
1,30,0,"M",0
1,29,0,"M",1
0,54,0,"M",0
0,29,4,"F",1
1,59,0,"M",0
0,38,0,"F",0
1,27,1,"M",1
0,66,33,"F",1
1,27,2,"F",0
1,51,1,"M",0
1,35,1,"F",0
1,52,4,"M",0
0,26,0,"M",0
1,48,0,"M",0
0,33,2,"M",0
0,34,6,"F",0
0,59,10,"F",1
0,29,5,"F",1
1,24,0,"F",0
1,48,1,"F",1
0,52,4,"M",0
0,20,0,"F",1
1,25,4,"F",1
1,24,0,"F",0
1,23,0,"M",0
1,27,6,"F",1
0,25,1,"M",1
0,31,0,"F",0
0,25,6,"F",1
1,32,1,"F",1
1,21,0,"F",1
1,25,0,"F",0
0,35,0,"F",0
0,42,14,"F",1
1,24,9,"M",1
1,47,1,"M",0
0,27,5,"F",1
1,46,2,"F",1
0,44,1,"M",0
1,23,2,"F",0
0,42,8,"F",0
0,58,6,"F",0
0,26,3,"F",1
0,39,3,"F",1
0,21,3,"F",1
1,63,1,"M",0
0,22,3,"F",1
0,50,3,"M",0
0,38,0,"F",0
1,41,1,"F",0
0,28,16,"F",1
0,30,0,"M",0
0,23,1,"F",0
1,25,2,"F",1
1,40,5,"F",0
0,27,5,"M",1
1,44,11,"M",0
0,35,6,"F",1
1,42,0,"M",0
0,38,15,"F",1
0,25,0,"M",0
1,49,2,"M",1
1,50,5,"F",1
1,66,0,"M",1
1,46,0,"M",0
0,30,5,"F",1
1,22,0,"M",0
1,23,1,"M",0
0,25,0,"M",1
1,21,0,"F",0
0,27,0,"M",0
1,24,0,"F",0
0,20,1,"F",0
0,31,3,"M",1
0,27,3,"M",1
0,40,0,"F",0
0,22,11,"F",1
0,38,1,"F",0
0,30,1,"M",0
1,27,6,"F",1
1,59,0,"M",0
1,37,2,"M",0
0,28,5,"M",1
1,38,0,"F",0
0,22,0,"F",1
0,25,4,"F",1
1,51,0,"M",0
1,29,2,"M",1
0,28,10,"F",0
0,55,9,"M",1
1,23,3,"F",0
0,22,0,"M",0
1,19,2,"F",1
0,31,1,"M",0
0,29,0,"M",0
0,61,15,"F",1
0,20,4,"F",1
1,26,3,"F",1
1,27,5,"M",0
1,25,1,"F",0
1,23,3,"F",1
0,38,0,"F",0
0,27,18,"F",1
1,35,0,"F",1
0,58,4,"F",1
1,57,0,"M",1
0,21,0,"F",0
0,22,0,"F",0
0,30,0,"F",0
0,30,8,"F",1
0,31,10,"F",0
1,45,1,"F",0
1,39,2,"F",1
0,31,0,"F",1
0,22,1,"F",1
0,27,13,"F",1
1,38,1,"F",1
0,31,23,"F",1
0,47,20,"F",0
0,22,3,"F",0
0,35,1,"M",1
0,65,2,"M",1
0,35,0,"M",0
0,33,0,"F",0
1,53,1,"M",0
0,21,0,"F",0
0,37,11,"F",0
0,31,0,"M",0
1,59,2,"F",0
0,27,0,"M",0
0,36,0,"M",1
0,46,17,"F",1
0,22,3,"F",0
1,28,0,"M",0
1,34,15,"F",1
0,23,2,"M",1
0,27,3,"F",0
1,48,3,"F",1
0,31,5,"F",0
0,36,4,"M",0
0,44,14,"F",1
1,53,2,"F",0
0,33,3,"M",1
1,47,2,"F",1
0,57,20,"F",1
0,28,2,"M",0
0,24,1,"M",0
0,44,1,"F",0
0,46,0,"F",0
0,37,6,"F",0
0,26,10,"M",1
0,27,10,"F",1
1,40,1,"F",0
1,60,9,"F",1
1,53,1,"F",0
0,28,0,"F",0
1,46,2,"F",0
0,23,0,"F",1
0,50,18,"F",1
0,45,0,"M",0
0,22,1,"F",0
1,26,1,"F",1
1,62,0,"F",0
1,34,0,"M",1
1,21,0,"M",0
1,25,0,"F",1
1,68,0,"M",0
1,21,1,"F",0
0,22,0,"F",0
1,42,1,"F",0
1,22,1,"F",1
0,45,0,"F",1
0,36,4,"F",1
0,48,2,"F",0
0,23,6,"F",1
0,24,0,"F",0
0,29,0,"F",0
0,24,0,"F",0
0,50,11,"F",0
0,34,10,"F",1
0,23,0,"F",0
1,22,0,"M",0
1,30,22,"F",1
0,21,0,"F",1
1,53,0,"F",0
0,25,7,"M",1
0,25,1,"M",0
0,71,8,"F",0
0,39,10,"M",0
0,37,0,"F",0
0,20,0,"F",1
0,29,3,"F",0
0,22,2,"F",1
0,26,4,"F",1
0,47,19,"F",1
1,20,1,"F",1
0,23,0,"F",0
0,53,0,"F",0
0,23,0,"F",1
0,26,5,"F",1
0,25,6,"F",1
0,27,4,"F",1
0,29,1,"M",0
0,31,0,"M",0
0,41,8,"F",1
1,25,0,"M",0
1,47,0,"M",0
0,37,4,"F",0
0,35,4,"F",0
1,24,1,"M",1
1,21,2,"F",1
1,22,0,"F",1
0,57,11,"F",0
1,48,0,"F",0
0,37,3,"F",0
1,31,0,"M",0
0,22,1,"F",1
1,31,2,"M",0
0,24,0,"F",1
0,32,22,"F",1
0,63,0,"M",0
1,20,0,"F",0
0,24,1,"M",1
0,36,1,"M",0
1,28,2,"F",0
0,36,3,"F",1
0,33,0,"M",0
0,39,0,"F",0
0,30,17,"F",1
0,24,1,"F",1
0,35,7,"F",0
0,24,0,"F",0
1,26,8,"F",0
0,28,14,"F",1
0,32,0,"M",0
1,32,1,"M",1
0,33,5,"M",1
0,29,16,"F",0
1,34,1,"M",1
1,43,0,"M",0
1,47,2,"F",0
0,25,3,"M",1
0,23,1,"F",0
1,39,2,"M",1
0,35,13,"F",1
0,43,20,"F",0
0,25,3,"F",1
0,48,25,"F",1
0,22,1,"M",1
0,52,9,"M",1
1,26,5,"F",1
0,67,4,"M",1
0,34,4,"M",0
1,56,4,"M",1
0,28,1,"F",1
0,29,2,"M",0
0,37,6,"F",1
1,51,0,"F",0
0,20,1,"M",1
1,26,4,"M",1
1,39,1,"M",1
0,21,1,"F",0
0,21,1,"F",1
1,24,3,"F",1
0,26,4,"M",1
1,48,1,"F",0
0,24,5,"F",1
1,26,0,"F",0
1,46,0,"F",0
0,24,7,"M",0
1,21,0,"M",0
0,24,1,"F",1
0,36,9,"M",0
0,30,5,"F",1
1,22,1,"F",0
0,25,0,"F",1
0,31,25,"M",1
0,24,0,"F",0
0,39,13,"F",1
0,30,4,"F",0
1,40,0,"F",0
0,52,0,"F",0
0,23,3,"F",0
0,26,1,"M",0
1,22,1,"F",1
1,42,3,"F",0
0,23,6,"F",1
0,28,1,"F",0
1,50,1,"F",1
0,32,1,"F",0
0,51,3,"F",0
1,19,1,"M",1
0,32,4,"F",0
1,31,1,"F",1
0,29,1,"F",0
0,26,9,"F",1
1,27,0,"F",1
1,52,1,"F",1
0,28,3,"M",1
0,32,3,"F",1
0,27,5,"M",1
1,42,0,"M",0
0,33,0,"F",1
1,28,3,"M",0
1,53,0,"M",0
1,24,0,"F",0
0,39,6,"M",1
0,22,1,"F",1
0,46,2,"F",1
0,25,0,"M",0
1,52,1,"F",0
0,28,4,"M",1
1,57,1,"F",1
0,49,3,"F",1
0,21,2,"F",1
0,32,19,"F",1
0,63,3,"M",0
1,29,2,"F",0
0,46,0,"M",0
0,28,10,"M",1
0,27,1,"F",0
1,33,1,"M",0
0,32,14,"F",1
0,24,2,"F",0
0,26,5,"F",1
1,25,1,"F",0
0,21,1,"F",0
0,25,2,"M",1
0,22,6,"F",1
1,26,0,"F",0
1,20,0,"F",0
0,30,1,"M",1
0,45,0,"F",1
0,33,7,"F",1
1,35,2,"F",0
1,41,5,"F",0
1,23,0,"M",0
1,21,0,"M",1
0,54,0,"F",0
0,27,10,"F",1
1,22,0,"M",0
0,23,2,"F",1
0,36,5,"M",1
0,29,10,"F",1
0,54,4,"M",1
1,22,2,"M",1
0,26,0,"M",1
0,20,0,"F",0
0,52,6,"M",1
0,29,0,"F",0
0,23,6,"M",0
0,35,1,"M",0
1,32,8,"F",1
0,21,1,"M",1
0,30,4,"M",1
0,30,3,"F",0
0,23,2,"F",1
1,32,8,"F",1
0,29,6,"F",1
1,42,0,"M",0
0,21,0,"F",1
0,22,0,"M",0
0,29,0,"M",0
0,30,6,"F",1
0,51,17,"M",0
1,24,2,"F",0
0,23,2,"M",0
0,36,5,"F",0
0,39,1,"F",0
0,29,2,"F",0
1,44,6,"F",0
0,25,2,"F",0
0,31,0,"F",0
0,35,17,"M",1
0,27,11,"M",1
0,33,1,"F",0
0,28,6,"F",1
1,60,1,"F",0
0,54,0,"F",0
1,24,3,"M",0
0,75,5,"F",0
0,36,16,"F",1
0,25,5,"M",1
1,46,0,"F",0
0,27,1,"F",0
0,28,3,"M",1
0,42,13,"M",1
0,59,2,"M",0
1,39,1,"F",0
1,46,5,"M",0
1,55,2,"F",0
0,35,1,"M",1
0,43,0,"M",1
1,53,0,"M",0
0,21,0,"M",0
0,55,17,"F",1
0,27,1,"F",1
0,40,0,"F",0
1,37,0,"M",0
1,32,2,"M",1
0,32,2,"M",0
0,36,4,"M",1
0,31,0,"F",0
0,26,4,"F",1
1,50,30,"M",1
0,47,4,"F",0
0,36,2,"F",1
1,38,0,"F",0
1,53,0,"F",0
0,53,2,"F",0
0,57,19,"F",0
0,22,5,"F",1
0,21,0,"F",1
0,26,0,"F",1
0,27,2,"F",0
1,49,4,"F",0
1,47,1,"F",1
0,30,8,"F",1
1,44,3,"F",0
0,34,1,"F",0
0,45,10,"F",1
1,50,2,"M",0
1,29,1,"M",0
1,26,0,"F",0
0,22,1,"F",1
1,49,0,"F",0
0,49,1,"F",1
1,59,2,"F",0
1,32,6,"M",0
0,24,1,"M",1
0,32,0,"F",0
0,27,9,"F",1
1,25,2,"M",0
1,20,0,"M",1
0,37,18,"M",0
1,30,5,"F",1
0,23,1,"F",1
0,20,0,"F",0
1,50,8,"F",0
0,50,7,"F",0
1,40,3,"F",0
1,24,2,"F",0
0,23,3,"F",1
1,54,3,"M",1
1,25,4,"M",0
1,46,1,"M",0
1,22,0,"M",0
1,32,1,"F",0
0,25,0,"M",1
0,33,16,"F",1
0,33,4,"M",1
0,24,0,"F",0
0,33,12,"M",1
1,37,0,"M",1
1,40,0,"M",0
0,43,9,"F",1
0,35,5,"F",1
0,25,11,"F",1
0,61,1,"F",1
0,52,1,"F",0
0,39,1,"M",1
0,47,5,"F",0
1,52,6,"M",0
1,37,0,"M",0
0,24,0,"F",0
0,34,14,"F",0
1,25,1,"M",1
1,62,0,"M",0
1,23,0,"F",1
1,60,0,"F",0
1,35,0,"M",0
0,24,0,"F",0
1,30,0,"M",0
1,35,4,"F",1
1,28,0,"M",0
0,56,0,"F",0
0,23,2,"F",1
1,23,1,"M",0
0,21,0,"F",1
0,35,2,"F",0
1,33,3,"M",0
0,41,9,"M",1
0,24,0,"F",0
0,28,9,"F",1
0,49,3,"F",0
0,21,0,"F",1
0,27,3,"F",1
0,50,4,"M",0
0,23,0,"M",0
1,34,0,"M",0
0,25,4,"F",1
1,33,2,"F",1
1,29,11,"F",1
0,32,6,"F",1
0,52,3,"F",0
1,26,3,"M",0
1,31,2,"F",1
1,30,0,"F",0
0,20,0,"M",1
1,31,0,"F",0
1,37,1,"M",0
1,49,8,"F",1
0,33,1,"F",0
0,42,0,"M",0
1,44,0,"F",1
0,28,5,"F",1
0,32,4,"F",1
0,28,7,"F",1
1,38,0,"F",0
0,38,3,"F",0
0,34,0,"M",1
1,21,1,"F",1
0,36,1,"F",1
0,29,0,"M",1
0,34,3,"F",1
0,38,1,"M",0
1,36,0,"F",0
0,23,0,"M",0
1,47,0,"M",0
0,20,0,"F",0
0,25,2,"F",1
0,35,0,"M",0
1,28,1,"M",0
0,24,2,"M",1
0,22,0,"F",0
0,60,12,"F",0
0,33,6,"M",0
0,34,2,"M",1
1,24,4,"M",0
0,27,0,"M",1
0,29,4,"F",1
1,21,1,"F",1
1,42,0,"F",1
0,32,1,"F",0
1,30,3,"M",0
0,22,1,"F",1
1,20,0,"M",1
1,57,0,"M",0
1,51,3,"F",1
0,21,0,"F",0
0,22,0,"F",0
0,35,4,"F",1
1,58,2,"F",0
1,32,0,"F",1
1,30,9,"M",1
0,20,0,"F",1
1,45,5,"M",0
0,31,4,"F",1
1,53,1,"M",0
1,44,0,"M",0
1,44,1,"M",0
1,21,0,"F",1
0,28,0,"M",0
1,28,2,"M",0
0,24,0,"F",1
0,28,0,"F",0
1,53,4,"F",0
0,20,1,"F",0
0,21,0,"M",0
1,37,1,"M",1
1,30,0,"M",0
1,26,2,"F",1
0,26,5,"F",1
0,39,1,"F",0
0,44,2,"F",0
1,45,0,"M",0
0,30,1,"F",0
1,23,6,"F",1
0,42,0,"F",0
1,54,4,"M",0
0,47,7,"F",1
1,26,0,"F",1
1,29,7,"M",1
1,51,7,"F",1
0,44,0,"M",0
1,49,12,"M",0
0,22,0,"F",1
0,32,4,"M",1
0,27,0,"M",0
1,30,0,"M",0
1,51,5,"F",0
0,27,4,"F",1
0,32,0,"F",1
0,43,2,"F",0
1,37,2,"F",0
0,26,0,"F",1
0,26,0,"M",0
0,58,4,"F",0
1,22,1,"M",0
0,21,2,"F",1
1,31,0,"F",1
1,43,2,"F",0
0,23,0,"M",0
1,25,0,"F",0
0,22,6,"F",0
0,30,6,"F",0
0,25,15,"F",1
0,20,0,"F",1
0,33,1,"F",1
0,59,1,"F",0
0,53,8,"F",1
1,34,2,"M",0
1,36,6,"F",0
0,23,0,"F",0
0,32,2,"M",0
0,32,11,"M",1
1,24,0,"M",0
0,30,7,"F",1
0,28,1,"M",0
1,43,4,"F",1
0,35,3,"M",0
0,19,2,"F",1
0,22,1,"M",1
0,29,0,"F",0
0,23,0,"M",0
1,33,0,"M",0
0,35,1,"M",0
1,53,0,"F",1
1,59,17,"F",1
1,48,0,"M",0
0,33,1,"F",0
1,44,0,"M",0
1,31,10,"F",1
0,28,2,"F",1
0,23,0,"F",1
1,26,0,"F",0
0,22,3,"F",0
0,29,0,"M",0
0,20,2,"F",1
1,44,0,"M",0
0,41,2,"F",0
0,28,4,"F",0
1,27,1,"M",1
1,31,7,"M",0
0,26,3,"F",1
0,20,0,"F",1
1,55,2,"M",1
0,36,0,"F",0
0,23,1,"M",0
0,34,19,"F",1
1,59,1,"F",0
1,37,0,"F",1
1,28,0,"F",1
0,31,0,"F",0
0,38,14,"F",1
0,33,0,"F",1
0,27,3,"F",1
1,25,2,"M",1
0,42,2,"F",0
0,22,3,"F",1
1,45,1,"F",1
0,21,1,"M",1
1,52,2,"M",0
1,29,0,"M",0
0,37,0,"M",0
1,34,0,"F",0
0,53,0,"M",1
0,30,8,"F",1
1,28,1,"F",0
0,21,1,"F",0
0,22,1,"F",0
1,42,1,"M",1
0,26,3,"F",1
0,54,9,"M",0
0,30,20,"F",1
0,26,1,"F",1
0,41,0,"M",0
1,23,5,"M",1
1,43,1,"F",1
0,22,0,"M",1
1,27,6,"F",1
0,42,2,"M",0
0,25,8,"F",1
0,49,4,"M",0
1,52,1,"F",0
1,60,2,"F",0
0,23,0,"M",0
0,30,2,"M",0
0,48,9,"F",1
0,32,2,"F",1
0,24,5,"F",1
0,22,3,"F",1
0,44,2,"F",0
1,32,3,"F",0
0,27,1,"M",0
0,52,15,"M",1
1,61,3,"M",1
0,69,3,"M",0
1,21,1,"F",0
1,31,2,"M",1
0,19,3,"F",1
0,24,12,"M",1
1,24,3,"F",1
1,30,6,"F",0
0,43,4,"F",1
0,24,4,"F",0
1,30,7,"M",0
0,25,5,"F",1
1,56,1,"F",0
0,21,1,"F",0
0,31,6,"F",1
0,23,1,"F",0
0,30,15,"F",1
1,64,0,"F",0
1,21,0,"F",1
0,36,5,"F",0
